Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jackson Fristoe","NYY",0.0424,0.0555,0,5.62491,1,0,0,0,,1,4.677,1.0693,0.6664,0.62499,0.162556,0.6552,0.0284,0.0447,0.6742,6.0678,5.8968,1.029,1.463,0.144152,0.14009,0.004062443971633911,0.268864,1.7245,0.28874,0.70685,0.407508,,5.99966,-0.0172232,-0.0500038,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jackson Fristoe","sa3022104",690977
"Zack Showalter","STL",0.041,0.0613,0.0091,5.4873,0.8499,0.0319,0,0,,1,4.679,1.0308,0.6507,0.6097,0.143444,0.6941,0.024,0.0597,0.7418,6.6762,6.2469,1.06872,1.291,0.158538,0.148344,0.010194480419158936,0.262611,1.7249,0.291898,0.70482,0.403687,,5.77771,-0.0172609,-0.0484393,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Zack Showalter","sa3020959",701374
"Chris Veach","NYY",0.0422,0.0557,0,5.67216,1,0,0,0,,1,4.693,1.0506,0.6704,0.63024,0.165333,0.6857,0.0285,0.0436,0.734,6.606,6.1713,1.07044,1.488,0.156403,0.146111,0.0102919340133667,0.265055,1.7363,0.288891,0.708318,0.388979,,6.00437,-0.0172741,-0.0500038,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Chris Veach","sa3067067",810102
"Brailin Rodriguez",,0.0409,0.057,0,5.7987,1,0,0,0,,1,4.669,1.0963,0.6846,0.6443,0.161556,0.6252,0.0283,0.052,0.6614,5.9526,5.6268,1.0579,1.454,0.141658,0.133904,0.007753267884254456,0.274638,1.7215,0.29498,0.693429,0.393995,,5.94416,-0.0172862,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Brailin Rodriguez","sa3009238",683637
"Anyelo Ovando","LAA",0.0387,0.0592,0,5.92362,1,0,0,0,,1,4.71,1.1017,0.7002,0.65818,0.160333,0.6696,0.0286,0.0633,0.6636,5.9724,6.0264,0.991039,1.443,0.140892,0.142166,-0.0012738704681396484,0.277011,1.7713,0.298546,0.692447,0.419102,,6.09097,-0.0172972,-0.0465521,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Anyelo Ovando","sa3015996",694041
"Delvis Alegre",,0.0408,0.0571,0,5.78745,1,0,0,0,,1,4.697,1.1239,0.687,0.64305,0.146778,0.6575,0.0285,0.0417,0.5977,5.3793,5.9175,0.909049,1.321,0.127251,0.139983,-0.012731537222862244,0.28113,1.7814,0.300346,0.694455,0.443998,,5.94545,-0.0173004,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Delvis Alegre","sa3006352",677590
"Nolan Martinez",,0.0406,0.064,0.0132,5.82327,0.7708,0.0488,0,0,,1,4.655,1.1445,0.69,0.64703,0.158444,0.582,0.0216,0.045,0.5636,5.0724,5.238,0.968385,1.426,0.121074,0.125027,-0.003952741622924805,0.284136,1.7265,0.298266,0.688852,0.430003,,5.94871,-0.0173364,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Nolan Martinez","sa917988",669228
"Carlos Vargas","SEA",2.8015,2.6846,0,3.84462,56,0,0,10.0103,,56,238.704,54.4111,26.1854,23.9221,5.90489,20.3617,1.5688,2.6656,46.2864,7.43889,3.27242,2.27321,0.949,0.193907,0.085301,0.10860605537891388,0.252281,1.33523,0.296701,0.730572,0.49985,,4.08643,-0.01734,0.0732264,999,,,,,,,263.20000000000005,4.700000000000001,265,4.732142857142857,6.28,5.35,4.77,4.32,3.94,3.59,3.25,2.9,2.47,4.93,4.66,4.47,4.31,4.17,4.04,3.89,3.74,3.53,"Carlos Vargas","22915",672841
"Julio Bonilla",,0.0408,0.0571,0,5.81382,1,0,0,0,,1,4.704,1.0796,0.687,0.64598,0.155,0.6863,0.0285,0.0483,0.7017,6.3153,6.1767,1.02244,1.395,0.149171,0.145897,0.003273800015449524,0.271981,1.7659,0.297041,0.696559,0.401002,,5.95054,-0.0173565,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Julio Bonilla","sa3011372",691083
"Joan Gonzalez","SDP",0.0414,0.0565,0,5.6502,1,0,0,0,,1,4.647,1.0845,0.6683,0.6278,0.160889,0.6172,0.0282,0.0512,0.6648,5.9832,5.5548,1.07712,1.448,0.14306,0.132817,0.010243162512779236,0.272583,1.7017,0.292939,0.69992,0.400909,,5.90229,-0.0173626,-0.0496161,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Joan Gonzalez","sa3022860",802993
"Erick Pinales",,0.0409,0.057,0,5.77116,1,0,0,0,,1,4.693,1.0773,0.6824,0.64124,0.155222,0.6789,0.0285,0.0466,0.6892,6.2028,6.1101,1.01517,1.397,0.146857,0.144662,0.0021947473287582397,0.271531,1.7562,0.295247,0.697776,0.402995,,5.95113,-0.017363,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Erick Pinales","sa3007963",679026
"Jacob Edwards","CIN",0.04,0.0579,0,5.93433,1,0,0,0,,1,4.753,1.1229,0.7034,0.65937,0.159556,0.7114,0.0288,0.0461,0.616,5.544,6.4026,0.865898,1.436,0.129602,0.149674,-0.02007153630256653,0.281041,1.8343,0.29918,0.70202,0.43877,,6.24986,-0.0173683,-0.0417522,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jacob Edwards","sa3020491",806652
"Drew Pestka","CIN",0.0397,0.0582,0,6.03549,1,0,0,0,,1,4.753,1.1025,0.7144,0.67061,0.163333,0.7304,0.0288,0.0481,0.672,6.048,6.5736,0.920044,1.47,0.141384,0.153671,-0.012286990880966187,0.277393,1.8329,0.299177,0.697218,0.440749,,6.24997,-0.0173694,-0.0417522,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Drew Pestka","sa3024451",814102
"Michael Valera",,0.0408,0.0571,0,5.79618,1,0,0,0,,1,4.717,1.1013,0.6874,0.64402,0.145778,0.6918,0.0286,0.0478,0.6483,5.8347,6.2262,0.937121,1.312,0.137439,0.146661,-0.009221971035003662,0.276889,1.7931,0.300165,0.695842,0.435998,,5.95245,-0.0173775,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Michael Valera","sa3011862",691995
"Alex Rao",,0.0408,0.0571,0,5.80374,1,0,0,0,,1,4.699,1.0726,0.6854,0.64486,0.156667,0.6859,0.0285,0.0487,0.7113,6.4017,6.1731,1.03703,1.41,0.151373,0.145967,0.005405411124229431,0.270558,1.7585,0.295803,0.697195,0.394001,,5.953,-0.0173837,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Alex Rao","sa3020595",702102
